hurdatId,storm_basin,storm_year,storm_name,mmh24,mmp24
AL011900,AL,1900,GALVESTON,58099057629,63475826974
AL031903,AL,1903,FLORIDA,25548742276,32222786138
AL061906,AL,1906,STORM 6,10532135518,11305396848
AL081906,AL,1906,STORM 8,175859908.6,121984283.9
AL041909,AL,1909,VELASCO,3689794462,4255564048
AL091909,AL,1909,GRAND ISLE,521182214.4,491513055.9
AL111909,AL,1909,STORM 11,3214735064,3688575375
AL051910,AL,1910,STORM 5,9667839868,8470361858
AL031911,AL,1911,STORM 3,667811041.5,655407707.9
AL041913,AL,1913,STORM 4,2001139278,1800509049
AL021915,AL,1915,GALVESTON,1.28488E+11,1.51066E+11
AL061915,AL,1915,NEW ORLEANS,4816602062,4617110090
AL061916,AL,1916,STORM 6,4185513648,4391861796
AL011918,AL,1918,STORM 1,1534092924,714072558.8
AL021919,AL,1919,FLORIDA KEYS,33614512185,34081678015
AL021920,AL,1920,STORM 2,898873424.6,872889383.7
AL061921,AL,1921,TAMPA BAY,9087353461,9678402363
AL011926,AL,1926,STORM 1,6188109778,7490594054
AL031926,AL,1926,STORM 3,1266201308,1184692876
AL071926,AL,1926,GREAT MIAMI,2.58025E+11,3.26261E+11
AL041928,AL,1928,LAKE OKEECHOBEE,1.23176E+11,1.48222E+11
AL021929,AL,1929,STORM 2,519140324.5,501011199.9
AL021932,AL,1932,FREEPORT,13539393460,15394914937
AL051933,AL,1933,STORM 5,3911874256,4595787732
AL061933,AL,1933,CHESAPEAKE-POTOMAC,30250814807,23946282096
AL081933,AL,1933,STORM 8,11306792502,12384926987
AL121933,AL,1933,STORM 12,2721675409,2291756167
AL011934,AL,1934,STORM 1,803198580.9,727996653.1
AL031934,AL,1934,STORM 3,781694004.3,768160198.5
AL031935,AL,1935,LABOR DAY,6853381829,4808945712
AL071935,AL,1935,YANKEE,12736134553,17441943689
AL131936,AL,1936,STORM 13,372601647.9,339195197.3
AL061938,AL,1938,GREAT NEW ENGLAND,63057798415,63376792868
AL031940,AL,1940,STORM 3,1457242373,1258043888
AL021941,AL,1941,STORM 2,4866786266,5116247727
AL051941,AL,1941,STORM 5,385616359,463515524.9
AL031942,AL,1942,MATAGORDA,7597623730,6551747424
AL011943,AL,1943,STORM 1,5446121352,5935006760
AL031944,AL,1944,STORM 3,1713371050,1120282357
AL071944,AL,1944,GREAT ATLANTIC,14812738575,15864158196
AL131944,AL,1944,CUBA-FLORIDA,38754390564,26527307603
AL051945,AL,1945,STORM 5,5982457801,4982583251
AL091945,AL,1945,HOMESTEAD,23420816496,32030246193
AL061946,AL,1946,STORM 6,2990647940,3346328286
AL041947,AL,1947,FORT LAUDERDALE,25539493899,31297277772
AL091947,AL,1947,STORM 9,6436648269,7983262766
AL081948,AL,1948,STORM 8,13639580395,9637290350
AL091948,AL,1948,STORM 9,1424078706,838239308.6
AL021949,AL,1949,FLORIDA,35657900273,47189160701
AL111949,AL,1949,STORM 11,2008716882,2238060736
AL021950,AL,1950,BAKER,370654736.6,322168410.4
AL051950,AL,1950,EASY,1748469821,1676689778
AL111950,AL,1950,KING,5614104223,7653248783
AL061954,AL,1954,CAROL,39119213116,43259508077
AL081954,AL,1954,EDNA,3145154826,3294748211
AL141954,AL,1954,HAZEL,1.0368E+11,77339752551
AL021955,AL,1955,CONNIE,5161773741,3609189837
AL031955,AL,1955,DIANE,63956109970,56014579628
AL081955,AL,1955,IONE,11657645246,7925835752
AL071956,AL,1956,FLOSSY,1549735321,1295128245
AL021957,AL,1957,AUDREY,6530255027,6296816148
AL081958,AL,1958,HELENE,1087611700,909652598.7
AL051959,AL,1959,DEBRA,753377697.4,844700699.1
AL081959,AL,1959,GRACIE,1613737691,1156710579
AL051960,AL,1960,DONNA,61204224670,59516811772
AL031961,AL,1961,CARLA,23590918796,20207954191
AL041963,AL,1963,CINDY,1250771121,1384064160
AL051964,AL,1964,CLEO,8466111576,10571553810
AL061964,AL,1964,DORA,70967818240,77897738090
AL101964,AL,1964,HILDA,5715971904,4506627030
AL111964,AL,1964,ISBELL,700023001.6,695137513.2
AL031965,AL,1965,BETSY,48256511004,43582171510
AL051965,AL,1965,DEBBIE,790902171.3,667332023.4
AL011966,AL,1966,ALMA,20313183.02,19902227.65
AL131967,AL,1967,BEULAH,14027506530,13678114761
AL141968,AL,1968,GLADYS,1268116112,1615614754
AL091969,AL,1969,CAMILLE,58553270765,53844285040
AL041970,AL,1970,CELIA,14656542358,12950029312
AL091971,AL,1971,DORIA,6499379243,5263222471
AL111971,AL,1971,FERN,824574118.4,689676840.1
AL131971,AL,1971,EDITH,615216750.3,536828613.5
AL141971,AL,1971,GINGER,438554757,329054769.5
AL021972,AL,1972,AGNES,57286841233,55322079826
AL101973,AL,1973,DELIA,544594564.9,633273268.6
AL101974,AL,1974,CARMEN,2301298027,1787362234
AL131975,AL,1975,ELOISE,18071910038,14320982250
AL071976,AL,1976,BELLE,1100684946,1151880996
AL061977,AL,1977,BABE,118314524.7,90860774.63
AL041978,AL,1978,AMELIA,158120819.8,143546044.1
AL041979,AL,1979,BOB,193353906.1,177094335.7
AL061979,AL,1979,CLAUDETTE,5096636614,5727239402
AL091979,AL,1979,DAVID,6639691737,8152326292
AL111979,AL,1979,FREDERIC,26311055312,22529292481
AL041980,AL,1980,ALLEN,8498951711,7680691050
AL101981,AL,1981,DENNIS,248833971.5,291372417.2
AL051982,AL,1982,CHRIS,11224469.71,11727638.79
AL031983,AL,1983,ALICIA,32060083450,32502429477
AL101984,AL,1984,DIANA,983611994.2,954618763.1
AL021985,AL,1985,BOB,209797011.4,189501009.9
AL041985,AL,1985,DANNY,453860758.9,379311091.8
AL051985,AL,1985,ELENA,9580709019,8476788339
AL091985,AL,1985,GLORIA,6993922890,7090158690
AL121985,AL,1985,JUAN,8438376427,6378702311
AL131985,AL,1985,KATE,2831513986,2614243984
AL021986,AL,1986,BONNIE,231364911.2,235725245.2
AL051986,AL,1986,CHARLEY,115396358.6,99192514.11
AL131987,AL,1987,FLOYD,4737382.473,4300954.103
AL071988,AL,1988,FLORENCE,10381537.96,9389868.844
AL081988,AL,1988,GILBERT,343370900.2,366721400.3
AL021989,AL,1989,ALLISON,3075178261,3439721133
AL041989,AL,1989,CHANTAL,515223636.1,543320029
AL111989,AL,1989,HUGO,62496722565,53871259501
AL141989,AL,1989,JERRY,482730508.7,521680855
AL151990,AL,1990,MARCO,303983518.1,323630388.1
AL031991,AL,1991,BOB,6637863969,6364532695
AL041992,AL,1992,ANDREW,1.36651E+11,1.481E+11
AL021993,AL,1993,ARLENE,107963318.6,99660742.05
AL051993,AL,1993,EMILY,203557902.9,203237147.2
AL011994,AL,1994,ALBERTO,5995968113,5691337913
AL031994,AL,1994,BERYL,368695531.3,356952337.2
AL121994,AL,1994,GORDON,2022658259,2253845803
AL051995,AL,1995,ERIN,8525937163,9034520156
AL111995,AL,1995,JERRY,151107645.6,170767389.8
AL171995,AL,1995,OPAL,23219717982,21750061702
AL021996,AL,1996,BERTHA,1569783504,1590284613
AL061996,AL,1996,FRAN,30825659860,32825648446
AL101996,AL,1996,JOSEPHINE,606107138.4,608558850.3
AL051997,AL,1997,DANNY,366674269.9,333262979.5
AL021998,AL,1998,BONNIE,3393888752,3454004976
AL051998,AL,1998,EARL,79951039.63,77864142.26
AL061998,AL,1998,FRANCES,1805067463,1593656351
AL071998,AL,1998,GEORGES,20997044420,19607561385
AL131998,AL,1998,MITCH,166380560.8,182444227.4
AL031999,AL,1999,BRET,117370410.7,120782929.4
AL051999,AL,1999,DENNIS,569059985,547097393.6
AL081999,AL,1999,FLOYD,32905710641,36194420389
AL101999,AL,1999,HARVEY,57543687.69,62754876.19
AL131999,AL,1999,IRENE,2850579091,3084639098
AL112000,AL,2000,GORDON,37936846.94,40679591.52
AL122000,AL,2000,HELENE,62487549.55,62364022.06
AL012001,AL,2001,ALLISON,31540976619,32290954540
AL032001,AL,2001,BARRY,118646566.6,116105933.9
AL082001,AL,2001,GABRIELLE,855552050.2,890070290.3
AL092002,AL,2002,HANNA,65093761.95,65708818.37
AL102002,AL,2002,ISIDORE,3144712364,2955706951
AL132002,AL,2002,LILI,3062109621,2802711639
AL032003,AL,2003,BILL,132513285.1,117842721.6
AL042003,AL,2003,CLAUDETTE,440663515.9,420569834
AL132003,AL,2003,ISABEL,15922387106,15111977053
AL012004,AL,2004,ALEX,14067457.98,14394673.14
AL032004,AL,2004,CHARLEY,55169336729,61524358810
AL062004,AL,2004,FRANCES,26491378696,29382505272
AL072004,AL,2004,GASTON,361711061,357040089.1
AL092004,AL,2004,IVAN,55450802908,53708031885
AL112004,AL,2004,JEANNE,19405397310,21231319290
AL032005,AL,2005,CINDY,671819659.9,643711549.3
AL042005,AL,2005,DENNIS,6099919250,6076330216
AL122005,AL,2005,KATRINA,2.45086E+11,2.36009E+11
AL162005,AL,2005,OPHELIA,4081904822,4175511367
AL182005,AL,2005,RITA,39592942369,38235965948
AL252005,AL,2005,WILMA,53145186873,57105518675
AL062006,AL,2006,ERNESTO,1086818754,1149848582
AL092007,AL,2007,HUMBERTO,109353055.9,110760655.3
AL042008,AL,2008,DOLLY,2694426363,2577212096
AL062008,AL,2008,FAY,1082151500,1163213528
AL072008,AL,2008,GUSTAV,11489904959,10425565825
AL082008,AL,2008,HANNA,370912408.4,430868432.3
AL092008,AL,2008,IKE,68221854635,69475559859
AL012010,AL,2010,ALEX,22924629.99,22994652.24
AL072010,AL,2010,EARL,38100148.18,38301112.47
AL102010,AL,2010,HERMINE,550191119.6,551871653.8
AL092011,AL,2011,IRENE,27679400885,26502942602
AL132011,AL,2011,LEE,5185870091,5184223045
AL092012,AL,2012,ISAAC,4996573694,4801173957
AL182012,AL,2012,SANDY,1.12387E+11,1.10352E+11
AL012014,AL,2014,ARTHUR,3407352.126,3530434.068
AL092016,AL,2016,HERMINE,914336934.8,950976673
AL142016,AL,2016,MATTHEW,17602009142,16781239863
AL092017,AL,2017,HARVEY,1.85667E+11,1.86819E+11
AL112017,AL,2017,IRMA,85591522896,84912991879
AL162017,AL,2017,NATE,333118125.2,330630283.3
AL062018,AL,2018,FLORENCE,38401803513,38220784315
AL142018,AL,2018,MICHAEL,37098342491,37945764930
AL022019,AL,2019,BARRY,818273750.8,780650812.2
AL052019,AL,2019,DORIAN,2787254360,2776685337
AL112019,AL,2019,IMELDA,7485022320,7554702687
AL082020,AL,2020,HANNA,1819028136,1776505088
AL092020,AL,2020,ISAIAS,8796885040,9175864734
AL132020,AL,2020,LAURA,31959195624,27354600009
AL192020,AL,2020,SALLY,10511379609,10667259068
AL262020,AL,2020,DELTA,4535484956,3875380166
AL282020,AL,2020,ZETA,6041371812,5952378831
AL292020,AL,2020,ETA,2475093804,2648345502
AL052021,AL,2021,ELSA,1734474762,1788760016
AL062021,AL,2021,FRED,1883644562,2019461689
AL092021,AL,2021,IDA,89292511946,87500400723
AL142021,AL,2021,NICHOLAS,1526420835,1557653560
AL092022,AL,2022,IAN,1.27187E+11,1.27446E+11
AL172022,AL,2022,NICOLE,1233325365,1261325389
AL102023,AL,2023,IDALIA,3858685587,3802147194
AL162023,AL,2023,OPHELIA,484114669.2,477794325.4
